last_update,model,class,price,km,fuel,cv,location,year
last_update,model,class,price,km,fuel,cv,location,year
5 días,Aston Martin 5.2 608,Km 0,165.900,6.000,Gasolina,608,Madrid,2019
11 meses,Aston Martin 4.0 510,Km 0,240.000,7.000,Gasolina,510,Madrid,2019
13 meses,Aston Martin 5.2 608,Km 0,173.297,100,Gasolina,608,Madrid,2019
4 horas,Audi Q5 55 TFSIe S line,Km 0,49.500,4.500,Híbrido,367,Granada,2020
18 horas,Audi A6 Allroad 45 TDI,Km 0,62.900,8.000,Diesel,231,Guipuzcoa,2019
5 horas,Audi Q3 35 TFSI Advanced,Km 0,33.500,20,Gasolina,150,Granada,2020
10 horas,Audi A1 Sportback 30 TFSI,Km 0,22.800,9.129,Gasolina,116,Toledo,2019
5 horas,Audi A4 35 TFSI S line,Km 0,33.500,15,Gasolina,150,Granada,2020
5 horas,Audi A1 Sportback 30 TFSI,Km 0,22.700,2.880,Gasolina,116,Granada,2019
6 horas,Audi A4 35 TDI S line S,Km 0,42.000,346,Diesel,163,Almeria,2019
1 mes,Audi A3 Sportback 35 TFSI,Km 0,27.800,1.000,Gasolina,150,Madrid,2020
2 horas,Audi Q5 35 TDI S line,Km 0,49.000,8.000,Diesel,163,Vizcaya,2020
2 días,Audi A1 Sportback 25 TFSI,Km 0,20.200,16,Gasolina,95,Navarra,2020
6 horas,Audi Q3 35 TDI Advanced,Km 0,37.400,5.500,Diesel,150,Almeria,2019
2 meses,Audi Q3 35 TFSI,Km 0,34.800,15,Gasolina,150,Huesca,2020
1 mes,Audi Q3 Sportback 35 TDI,Km 0,34.800,61,Diesel,150,Huesca,2020
3 meses,Audi Q7 45 TDI Design,Km 0,66.900,3.500,Diesel,232,Madrid,2019
4 meses,Audi A3 Sportback 35 TFSI,Km 0,30.600,2.000,Gasolina,150,Vizcaya,2020
2 meses,Audi A3 Sedán 30 TDI S,Km 0,25.000,19,Diesel,116,Huesca,2020
23 días,Audi A3 Sportback 35 TDI,Km 0,31.900,9.878,Diesel,150,Vizcaya,2019
21 días,Audi Q5 35 TDI S line,Km 0,45.900,9.087,Diesel,163,Vizcaya,2020
7 horas,Audi A1 Sportback 30 TFSI,Km 0,18.400,6.500,Gasolina,116,Badajoz,2019
7 horas,Audi A1 Sportback 25 TFSI,Km 0,17.200,9.100,Gasolina,95,Badajoz,2019
2 meses,Alfa Romeo 1.4 TB 120,Km 0,15.000,103,Gasolina,120,Guadalajara,2019
5 horas,Alfa Romeo 2.2 Diesel,Km 0,31.990,10,Diesel,160,"Rioja, La",2020
26 días,Alfa Romeo 2.0 Executive,Km 0,44.490,0,Gasolina,280,Castellon,2020
2 horas,Alfa Romeo 2.0 GME Veloce,Km 0,41.700,10,Gasolina,280,Barcelona,2020
3 meses,Alfa Romeo 2.2 Diesel,Km 0,41.890,10,Diesel,210,Castellon,2020
15 días,Alfa Romeo 2.0 GME Veloce,Km 0,41.750,0,Gasolina,280,Madrid,2020
11 días,Alfa Romeo 2.2 TI Q4 210,Km 0,43.900,350,Diesel,210,Madrid,2020
5 horas,Alfa Romeo 2.0 Executive,Km 0,44.990,50,Gasolina,280,"Rioja, La",2020
1 mes,Alfa Romeo 2.2 Diesel,Km 0,20.990,9.262,Diesel,180,Barcelona,2018
8 horas,Alfa Romeo 2.2 Diesel,Km 0,21.490,4.961,Diesel,150,Madrid,2018
8 meses,Alfa Romeo 2.0 Veloce Q4,Km 0,38.100,400,Gasolina,280,Alicante,2020
5 horas,Alfa Romeo 2.2 Diesel,Km 0,28.900,100,Diesel,160,Sevilla,2020
2 días,Alfa Romeo 1.4 TB 120,Km 0,14.750,25,Gasolina,120,Burgos,2020
21 meses,Alfa Romeo MiTo 1.3JTDm Super,Km 0,13.042,20,Diesel,95,Alicante,2019
4 meses,Alfa Romeo 2.0 Veloce Q4,Km 0,37.975,9.000,Gasolina,280,Barcelona,2020
5 horas,Alfa Romeo 1.4 TB 120,Km 0,14.900,110,Gasolina,120,Pontevedra,2018
2 meses,Alfa Romeo 2.0 Executive,Km 0,41.900,6.000,Gasolina,280,Valencia,2020
5 horas,Alfa Romeo 2.2 Diesel,Km 0,24.500,5.100,Diesel,150,Sevilla,2018
8 días,Alfa Romeo 1.4 TB 120,Km 0,15.700,1,Gasolina,120,Madrid,2020
29 días,Alfa Romeo 2.2 RWD Aut.,Km 0,30.000,95,Diesel,160,Illes Balears,2019
